	urls
299	https://www.cars-data.com/en/audi-s3-2-0-t-fsi-quattro-specs/1965
300	https://www.cars-data.com/en/lexus-rx-300-specs/20711
301	https://www.cars-data.com/en/opel-movano-combi-l1h1-3000-2-3-cdti-100-selection-specs/31929
302	https://www.cars-data.com/en/peugeot-206-cc-1-6-16v-specs/34485
303	https://www.cars-data.com/en/volkswagen-jetta-1-3-specs/51107
304	https://www.cars-data.com/en/volkswagen-passat-1-6-businessline-specs/51878
305	https://www.cars-data.com/en/audi-a4-35-tfsi-specs/80269
306	https://www.cars-data.com/en/toyota-rav4-2-0-vvt-i-4wd-comfort-specs/163528
307	https://www.cars-data.com/en/alfa-romeo-33-1-3-v-specs/744
308	https://www.cars-data.com/en/peugeot-308-cc-sport-1-6-vti-specs/35501
309	https://www.cars-data.com/en/daewoo-kalos-1-2-pure-specs/11075
310	https://www.cars-data.com/en/fiat-marea-1-6-16v-sx-specs/12094
311	https://www.cars-data.com/en/renault-11-tl-specs/73978
312	https://www.cars-data.com/en/seat-ibiza-1-2-12v-selection-specs/43877
313	https://www.cars-data.com/en/bmw-z4-roadster-2-0i-introduction-specs/8580
314	https://www.cars-data.com/en/peugeot-207-sw-xr-1-4-specs/34695
315	https://www.cars-data.com/en/citroen-c4-picasso-1-6-vti-seduction-specs/9846
316	https://www.cars-data.com/en/renault-11-tc-specs/73949
317	https://www.cars-data.com/en/bmw-z4-coupe-3-0si-specs/8559
318	https://www.cars-data.com/en/ford-streetka-1-6-specs/14833
319	https://www.cars-data.com/en/mercedes-benz-s-350-specs/25035
320	https://www.cars-data.com/en/mitsubishi-pajero-3-5-v6-gdi-gls-specs/26723
321	https://www.cars-data.com/en/subaru-impreza-plus-1-6-lx-specs/46504
322	https://www.cars-data.com/en/renault-kangoo-rte-1-2-specs/38143
323	https://www.cars-data.com/en/suzuki-cappuccino-specs/79039
324	https://www.cars-data.com/en/toyota-yaris-1-0-vvt-i-comfort-specs/79251
325	https://www.cars-data.com/en/daimler-4-0-specs/59702
326	https://www.cars-data.com/en/mazda-rx-7-dx-specs/21975
327	https://www.cars-data.com/en/subaru-brz-sport-specs/46365
328	https://www.cars-data.com/en/volvo-360-specs/68207
329	https://www.cars-data.com/en/lamborghini-huracan-spyder-lp580-2-specs/81624
330	https://www.cars-data.com/en/mazda-323-fastbreak-1-3-comfort-specs/21209
331	https://www.cars-data.com/en/chevrolet-aveo-1-2-16v-l-specs/8823
332	https://www.cars-data.com/en/smart-forfour-eq-essential-specs/159296
333	https://www.cars-data.com/en/citroen-jumper-combi-comfort-30-l1h1-hdi-110-specs/67137
334	https://www.cars-data.com/en/talbot-matra-rancho-specs/59889
335	https://www.cars-data.com/en/lancia-ypsilon-1-2-8v-silver-specs/20133
336	https://www.cars-data.com/en/lexus-is-250c-luxury-specs/20687
337	https://www.cars-data.com/en/daewoo-lanos-1-3-se-specs/11105
338	https://www.cars-data.com/en/nissan-300-zx-2-2-specs/26937
339	https://www.cars-data.com/en/peugeot-405-gl-1-4-specs/35590
340	https://www.cars-data.com/en/kia-shuma-1-5-rs-specs/19361
341	https://www.cars-data.com/en/volkswagen-passat-1300-specs/51467
342	https://www.cars-data.com/en/peugeot-2008-access-1-2-puretech-specs/63095
343	https://www.cars-data.com/en/citroen-c4-puretech-110-live-specs/67070
344	https://www.cars-data.com/en/porsche-panamera-specs/67852
345	https://www.cars-data.com/en/opel-rekord-1-9-n-specs/71152
346	https://www.cars-data.com/en/mitsubishi-l200-double-cab-2-4-di-d-cleartec-invite-specs/70761
347	https://www.cars-data.com/en/audi-s3-cabriolet-2-0-tfsi-quattro-specs/74813
348	https://www.cars-data.com/en/volvo-760-gle-specs/54441
349	https://www.cars-data.com/en/ford-galaxy-2-0-16v-trend-specs/14744
350	https://www.cars-data.com/en/citroen-c8-2-0i-16v-ligne-prestige-specs/10274
351	https://www.cars-data.com/en/citroen-xsara-coupe-1-4i-ligne-seduction-specs/10848
352	https://www.cars-data.com/en/suzuki-ignis-1-3-ga-specs/47045
353	https://www.cars-data.com/en/toyota-tercel-1-5-4wd-specs/79246
354	https://www.cars-data.com/en/nissan-micra-1-0-lx-specs/27332
355	https://www.cars-data.com/en/rover-216-coupe-specs/40944
356	https://www.cars-data.com/en/mazda-mpv-2-0-comfort-specs/21887
357	https://www.cars-data.com/en/ford-sierra-1-6-cl-specs/16170
358	https://www.cars-data.com/en/renault-5-specs/37187
359	https://www.cars-data.com/en/kia-sorento-2-2-crdi-2wd-dynamicline-specs/67403
360	https://www.cars-data.com/en/opel-agila-1-0-12v-specs/28337
361	https://www.cars-data.com/en/opel-astra-sports-tourer-1-4-100hp-s-s-berlin-specs/58824
362	https://www.cars-data.com/en/citroen-xsara-coupe-1-4i-ligne-seduction-specs/10840
363	https://www.cars-data.com/en/saab-9000-cs-2-0i-specs/42941
364	https://www.cars-data.com/en/aston-martin-v12-vanquish-specs/994
365	https://www.cars-data.com/en/bmw-x6-xdrive35i-specs/8517
366	https://www.cars-data.com/en/audi-80-1-3-specs/1252
367	https://www.cars-data.com/en/honda-civic-1-4i-dsi-specs/16826
368	https://www.cars-data.com/en/nissan-nv400-l1h1-2800-2-3-dci-100-acenta-specs/67608
